gene_id	Ro	Le	Fl
Aco000001	425.356	379.86699999999996	380.272
Aco000002	97.0152	52.8687	56.0615
Aco000003	6.18318	3.67499	3.3262199999999997
Aco000005	0.0	0.0	0.0
Aco000006	0.0	0.0	0.0
Aco000007	14.613	3.5646400000000003	4.73496
Aco000008	0.0	0.0	0.0
Aco000009	0.0	0.0	0.0
Aco000010	0.0	0.0	0.0
Aco000011	1.9389599999999998	9.15977	9.73438
Aco000012	11.1821	5.87464	7.16212
Aco000013	0.49374700000000005	0.0	0.0
Aco000014	50.8457	0.6945640000000001	0.570286
Aco000015	12.8205	29.7871	33.5045
Aco000017	20.3473	13.9788	15.9302
Aco000018	12.7465	15.4333	19.0958
Aco000020	0.0	0.0	0.0
Aco000023	214.53400000000002	16.2387	16.6363
Aco000024	21.9598	0.0	0.287247
Aco000025	5.45403	8.31258	13.3262
Aco000026	5.57257	19.0144	14.629000000000001
Aco000027	24.4071	7.435169999999999	9.41593
Aco000028	0.0	0.0	0.0
Aco000030	1.72928	10.1748	8.19024
Aco000031	6.40864	202.205	196.22299999999998
Aco000032	6.7024	31.1534	28.3479
Aco000033	32.1573	19.250999999999998	20.9513
Aco000034	0.312913	28.0602	23.7538
Aco000035	0.0429357	5.4725	4.9985800000000005
Aco000036	0.0	0.0	0.0
Aco000037	36.9599	15.6507	16.4733
Aco000039	37.155	51.2747	49.523
Aco000040	0.804797	2.76958	3.24842
Aco000041	28.2052	29.5071	30.2957
Aco000042	0.0	0.0	0.0458733
Aco000043	3.38723	15.505999999999998	0.0
Aco000044	8.895	6.55318	6.953189999999999
Aco000045	31.2726	20.0685	14.8145
Aco000046	0.330046	0.0	0.54602
Aco000047	0.0	0.0	0.0664099
Aco000048	0.0	0.0	0.0
Aco000049	47.5573	15.5072	16.9991
Aco000050	5.64205	3.5060300000000004	3.9193300000000004
Aco000051	9.75287	2.94591	1.8790900000000001
Aco000052	0.6136739999999999	0.321035	0.544851
Aco000054	0.0	2.64767	1.64267
Aco000055	2.2782299999999998	16.6907	19.2767
Aco000056	0.0	0.0	0.193857
Aco000057	1.1784299999999999	1.31065	1.7361799999999998
Aco000058	12.8347	7.96748	9.709389999999999
Aco000059	0.0	0.0	0.0
Aco000060	0.0	0.0	0.0
Aco000061	27.1599	26.0333	24.2002
Aco000062	0.0	0.0	0.0
Aco000063	39.4227	25.9167	24.6675
Aco000064	0.0	0.0	0.0
Aco000065	0.0	0.0	0.0
Aco000066	19.8961	15.8887	15.1126
Aco000067	33.218	95.5409	93.9469
Aco000068	4.82238	11.6889	19.4123
Aco000069	40.99100000000001	29.1616	27.0048
Aco000070	61.7122	49.7991	45.8665
Aco000071	17.8097	60.6982	56.9164
Aco000072	7.8030100000000004	5.2247900000000005	5.5665
Aco000073	2.30678	17.6791	14.9525
Aco000074	2.28035	7.74137	6.11627
Aco000075	5.13995	7.489260000000001	7.33295
Aco000076	0.829175	0.0	0.37832
Aco000077	0.286326	0.508851	0.307728
Aco000078	6.6844	0.0	0.0
Aco000079	0.224431	0.0	0.0
Aco000080	2.39364	0.09720880000000001	0.0606575
Aco000081	71.7611	62.2202	55.0243
Aco000082	17.97	42.6853	44.8323
Aco000083	9.06672	0.0	0.0
Aco000084	7.776339999999999	20.2119	21.0626
Aco000085	479.972	543.482	511.74699999999996
Aco000086	0.9280430000000001	0.0	0.0
Aco000087	67.4419	77.827	75.0709
Aco000088	28.9501	27.3543	26.5102
Aco000089	2.5114	2.2219599999999997	2.516
Aco000090	16.4282	11.331	11.9412
Aco000091	3.3967099999999997	6.39806	7.43265
Aco000092	26.7886	27.0699	28.0175
Aco000093	0.0	0.0	0.0
Aco000094	0.06806060000000001	0.722712	0.600742
Aco000095	36.0354	69.3754	68.2861
Aco000096	1.06332	1.8436	1.3928200000000002
Aco000097	83.5274	40.6082	40.2332
Aco000098	17.4215	0.0	4.38963
Aco000099	28.377	29.548000000000002	34.0307
Aco000100	9.78037	0.371573	0.11213
Aco000101	15.6495	580.445	617.055
Aco000102	7.8981	28.3703	29.5781
Aco000103	44.7653	38.3985	37.6167
Aco000104	5.37971	28.4281	26.1303
Aco000105	47.698	144.14	143.514
Aco000106	20.0543	20.5408	19.2371
Aco000107	0.0	0.0	0.0
Aco000108	6.05366	1.13296	1.29752
Aco000109	0.0	0.0	0.0
Aco000110	61.6751	60.7539	54.6891
Aco000111	29.663	17.83	19.5898
Aco000112	12.9927	14.0534	13.7529
Aco000113	53.8885	40.9546	41.7627
Aco000114	21.469	27.1014	26.4192
Aco000115	264.246	251.688	236.579
Aco000118	14.593	42.4843	43.1509
Aco000119	19.6391	34.7289	27.1672
Aco000120	2.09878	1.0919299999999998	1.15487
Aco000121	50.1019	61.1013	61.794
Aco000122	10.3784	0.0	0.0
Aco000123	3.13502	11.2598	7.73527
Aco000124	56.0725	24.7275	22.980999999999998
Aco000125	10.8384	16.5117	13.9188
Aco000126	0.0	0.0	0.0
Aco000127	0.363662	4.16063	4.12804
Aco000128	36.9901	18.7797	19.9469
Aco000129	12.5246	19.8126	20.8879
Aco000130	28.6056	13.796	14.8859
Aco000131	50.0857	21.1693	23.3846
Aco000132	17.9016	8.67255	9.57202
Aco000133	19.0616	106.664	108.006
Aco000134	32.76	10.0762	10.1761
Aco000135	0.273282	0.0	0.129295
Aco000136	2.9388099999999997	101.175	95.9814
Aco000137	141.469	103.4	99.6548
Aco000138	1.7651700000000001	2.38347	2.17436
Aco000139	26.4127	13.9617	14.2806
Aco000140	106.166	117.50399999999999	116.414
Aco000141	0.0358874	13.7459	17.7689
Aco000142	18.3344	13.470999999999998	12.854000000000001
Aco000143	195.291	247.585	227.139
Aco000144	18.5029	37.9264	34.7729
Aco000145	14.477	27.108	22.3093
Aco000146	1.0056200000000002	25.9936	31.0981
Aco000147	70.987	1.40924	2.14453
Aco000148	7.2064699999999995	0.454042	0.586892
Aco000149	3.02609	0.160422	0.162824
Aco000150	194.93	173.96400000000003	163.84900000000002
Aco000151	29.3218	19.7176	17.9971
Aco000152	19.6224	19.7086	15.3723
Aco000153	0.7976810000000001	0.42027299999999995	0.324344
Aco000154	13.4341	14.3241	15.4014
Aco000155	28.9316	30.6436	29.6232
Aco000156	29.0395	25.5928	25.936
Aco000157	13.1298	13.3012	13.1221
Aco000158	12.6619	2.78867	3.69659
Aco000159	104.779	97.5888	89.5763
Aco000160	20.8548	25.9633	23.585
Aco000161	14.5006	6.8704600000000005	5.82751
Aco000163	0.0	0.0	0.0
Aco000164	103.414	80.3925	70.8054
Aco000165	22.0401	37.772	40.9891
Aco000166	14.7681	25.6846	24.9974
Aco000167	1.56025	0.20368	0.618581
Aco000168	2.76361	3.90401	3.18899
